SRR5150740	outgroup
SRR11934227	outgroup
DRR082665	outgroup
DRR234970	outgroup
SRR11748982	outgroup
SRR104381	outgroup
JJ131	longicaulis-JJ131
JJ15	ingens-JJ15
DE536	lachnoglossa-DE536
DE566	batangensis-DE566
JJ99	rhynchotricha-JJ99
DE152	integrifolia-DE152
DE229	alaschanica-DE229
JJ23	dichotoma-JJ23
DE668	metaszetschuanica-DE668
DE126	lutescens-DE126
DE115	cephalantha-DE115
JJ86	chumbica-JJ86
DE563	pseudomelampyriflora-DE563
DE666	pectinatiformis-DE666
DE127	brevilabris-DE127
DE554	densispica-DE554
DE575	anas-yellow-DE575
DE681	anas-purple-DE681
DE623	semitorta-magenta-DE623
DE680	semitorta-yellow-DE680
DE507	kansuensis-pink-DE507
DE704-white	kansuensis-white-DE704
DE162	kansuensis-yellow-DE162
