SRR5150740	outgroup
SRR11934227	outgroup
DRR082665	outgroup
DRR234970	outgroup
SRR11748982	outgroup
SRR104381	outgroup
JJ131	longicaulis-JJ131
JJ15	ingens-JJ15
DE536	lachnoglossa-DE536
JJ74	mollis-JJ74
DE566	batangensis-DE566
DE152	integrifolia-DE152
DE668	metaszetschuanica-DE668
DE126	lutescens-DE126
DE546	urceolata-DE546
DE115	cephalantha-DE115
DE666	pectinatiformis-DE666
DE554	densispica-DE554
DE681	anas-purple-DE681
DE528	kansuensis-white-DE528
DE680	semitorta-yellow-DE680
JJ125	axillaris-JJ125
DE519	macrosiphon-DE519
JJ85	bella-JJ85
DE69	przewalskii-DE69
DE523	fetisowii-DE523
DE510	rex-subsp-lipskyana-red-DE510
DE561	cyathophylla-DE561
DE671	armata-DE671
DE541	tenuituba-DE541
DE737	chinensis-DE737
DE550	mussotii-DE550
DE504	oxycarpa-DE504
DE151	cranolopha-forked-DE151
